word	freq	tone	vowel	rhyme	coda	heavy_syllable	average_info
no4ng	45	4	o	ong	ng	T	8.04599005801
cho4u	6	4	ou	ou	NA	T	10.420533895
cha2i	19	2	ai	ai	NA	T	10.8793171135
xue4	73	4	ue	ue	NA	T	10.7448375921
yi4n	469	4	i	in	n	T	10.2320266373
ka2ng	4	2	a	ang	ng	T	10.1260598475
ku1n	123	1	u	un	n	T	9.28622990138
sha1ng	1892	1	a	ang	ng	T	6.80908167305
kui3	1	3	ui	ui	NA	T	15.7686610972
cha2n	14	2	a	an	n	T	10.517869358
pa4ng	11	4	a	ang	ng	T	6.17500179182
o1	18	1	o	o	NA	F	13.1657293827
fa2	167	2	a	a	NA	F	7.91389753374
ra3o	81	3	ao	ao	NA	T	4.95866294159
jua1n	85	1	ua	uan	n	T	11.6913208608
ta1i	49	1	ai	ai	NA	T	6.54144209158
qia1o	46	1	iao	iao	NA	T	11.0867272709
sho1u	1409	1	ou	ou	NA	T	7.26457277742
ga3i	1034	3	ai	ai	NA	T	8.95336780086
zha4ng	651	4	a	ang	ng	T	4.98942567461
zi	92	NA	i	i	NA	F	6.93476342911
ga3o	205	3	ao	ao	NA	T	10.79050243
ga3n	1447	3	a	an	n	T	8.38906034439
ji3n	1778	3	i	in	n	T	6.66483606625
ya1	886	1	a	a	NA	F	8.88498147659
fa2n	280	2	a	an	n	T	8.40212143944
zhua4i	3	4	uai	uai	NA	T	12.0122594843
da4o	11082	4	ao	ao	NA	T	4.91700743754
da4n	3543	4	a	an	n	T	6.66473728309
le4	578	4	e	e	NA	F	7.31264245901
chui1	36	1	ui	ui	NA	T	10.8202348352
chui2	38	2	ui	ui	NA	T	11.5028026663
pie1	2	1	ie	ie	NA	T	13.0238084744
ka1n	136	1	a	an	n	T	10.9873180623
kui4	28	4	ui	ui	NA	T	10.0272234661
ka1i	3678	1	ai	ai	NA	T	7.03269183641
de3ng	2370	3	e	eng	ng	T	8.25785125387
niu1	1	1	iu	iu	NA	T	10.1925643689
niu2	75	2	iu	iu	NA	T	9.25023155327
zha1ng	989	1	a	ang	ng	T	7.59034656555
ta4o	192	4	ao	ao	NA	T	8.6149191188
bo1	834	1	o	o	NA	F	8.28584955766
lia2o	499	2	iao	iao	NA	T	7.88503452148
lia2n	3358	2	ia	ian	n	T	7.66338723977
zha4n	3020	4	a	an	n	T	7.28979746806
zha4o	990	4	ao	ao	NA	T	7.50865014084
bi1	55	1	i	i	NA	F	11.0667703159
fa3ng	1115	3	a	ang	ng	T	7.31814482728
li3n	4	3	i	in	n	T	7.81639814554
ke1ng	14	1	e	eng	ng	T	9.86976555873
zo1u	1	1	ou	ou	NA	T	13.3156545299
qi3n	3	3	i	in	n	T	13.0728123976
pe1n	23	1	e	en	n	T	11.5067642294
che4	363	4	e	e	NA	F	7.39995839322
che3	12	3	e	e	NA	F	10.392017493
li4ng	1350	4	i	ing	ng	T	8.78913258112
so1u	329	1	ou	ou	NA	T	10.1029674085
go1u	154	1	ou	ou	NA	T	9.24321435271
men	156	NA	e	en	n	T	4.8737402731
miu4	3	4	iu	iu	NA	T	3.97675900603
zha3ng	1337	3	a	ang	ng	T	7.04149549669
xia3ng	2216	3	ia	iang	ng	T	5.33931169846
xia3n	1063	3	ia	ian	n	T	6.74979134873
xia3o	1838	3	iao	iao	NA	T	8.11233467076
du1	3439	1	u	u	NA	F	7.4491238584
cu2n	357	2	u	un	n	T	9.54314031093
te4	1948	4	e	e	NA	F	7.96564648238
ca4n	24	4	a	an	n	T	7.8523861705
ta2i	4279	2	ai	ai	NA	T	7.14022367312
ta2o	201	2	ao	ao	NA	T	10.0961720611
ta2n	1561	2	a	an	n	T	6.39514282468
mi1	2	1	i	i	NA	F	5.40644328128
xua4n	98	4	ua	uan	n	T	7.25407946587
ku4	247	4	u	u	NA	F	9.01192657741
ku3	173	3	u	u	NA	F	8.26877261247
ku1	62	1	u	u	NA	F	10.7269385422
mo2u	160	2	ou	ou	NA	T	8.81626635134
li2ng	4042	2	i	ing	ng	T	4.05244112926
su4	1551	4	u	u	NA	F	6.4232628126
ho1ng	41	1	o	ong	ng	T	10.93090148
su2	39	2	u	u	NA	F	9.83950041844
su1	583	1	u	u	NA	F	8.72981912521
yo1ng	220	1	o	ong	ng	T	10.646062703
ya4n	908	4	a	an	n	T	7.04142000985
za1o	302	1	ao	ao	NA	T	10.4689705924
