t,cond
34.1951893679547,Scrambled
33.0968758578214,Scrambled
33.5434044978778,Scrambled
34.4220961897563,Scrambled
34.1484611013828,Scrambled
33.7873597589173,Scrambled
34.3217002622599,Scrambled
33.4109337104617,Scrambled
33.7888615239261,Scrambled
32.9684604222083,Scrambled
33.3927319091855,Scrambled
33.7182594475989,Scrambled
33.0437264722831,Scrambled
33.1616362139069,Scrambled
33.6938210336759,Scrambled
34.1259667821199,Scrambled
34.082728776214,Scrambled
33.946059031735,Scrambled
34.0195573778275,Scrambled
34.3670809565444,Scrambled
33.8646838873001,Scrambled
34.5596267985514,Scrambled
35.4826416176963,Scrambled
33.7297376838118,Scrambled
33.9346367404591,Scrambled
33.9382475039247,Scrambled
34.1957676111343,Scrambled
33.6789730049106,Scrambled
34.6146513276296,Scrambled
33.5178237820524,Scrambled
34.7126210984826,Scrambled
33.2631234042333,Scrambled
33.6606731759513,Scrambled
33.6059665602002,Scrambled
33.7072028940952,Scrambled
34.1850437288275,Scrambled
34.4650904120604,Scrambled
34.8973370147187,Scrambled
33.9418061316978,Scrambled
33.3182252063806,Scrambled
33.113456015836,Scrambled
34.0829383468387,Scrambled
34.5997352956193,Scrambled
32.982310313062,Scrambled
35.5891223173133,Scrambled
33.5707002570062,Scrambled
34.5892996284717,Scrambled
33.7283089478748,Scrambled
33.3046118674405,Scrambled
33.1973353554929,Scrambled
34.0482150170719,Scrambled
34.4291589657974,Scrambled
33.8418442110659,Scrambled
33.3825465716719,Scrambled
34.3010226222348,Scrambled
32.8875382626114,Scrambled
34.8813015914568,Scrambled
33.7571853004399,Scrambled
35.2364081353982,Scrambled
33.9264007147345,Scrambled
33.8406375338904,Scrambled
33.2046410571154,Scrambled
33.8939251058843,Scrambled
32.6577198680939,Scrambled
